Student_ID,Gender,Age,Degree,CGPA,10th_Percentage,12th_Percentage,Backlogs,Technical_Skills,Communication_Skills,Aptitude_Score,Coding_Score,Internship,Internship_Months,Certifications,Projects,Attendance,Placement_Training,Preferred_Domain,Placement_Status,Company_Type,Package_LPA
STU0173,Male,22,B.Sc Networking,7.96,66.3,79.5,0,8.8,5.4,80,63,Yes,4,0,1,86.1,Yes,Software Development,Not Placed,None,0.0
STU0174,Female,21,B.Tech CSE,7.38,92.3,96.8,0,8.1,9.4,79,39,No,0,0,2,94.5,Yes,AI/ML,Not Placed,None,0.0
STU0175,Male,22,BCA,8.43,70.2,87.0,0,10.0,5.7,65,60,No,0,5,2,88.6,Yes,Cloud Computing,Placed,IT Services,5.37
STU0176,Female,22,B.Tech CSE,8.06,64.3,86.6,2,6.2,9.0,80,48,Yes,4,1,5,84.5,No,Cloud Computing,Placed,Startup,3.69
STU0177,Male,22,BCA,8.01,74.0,58.7,0,8.5,7.6,56,57,No,0,3,2,89.1,Yes,AI/ML,Not Placed,None,0.0
STU0178,Female,21,B.Tech IT,8.17,96.7,82.4,0,6.8,4.4,61,46,No,0,3,3,87.6,No,AI/ML,Not Placed,None,0.0
STU0179,Male,22,B.Tech CSE,9.4,57.7,73.4,2,9.0,8.1,40,57,No,0,2,5,90.0,Yes,Cloud Computing,Not Placed,None,0.0
STU0180,Female,22,B.Tech IT,6.69,65.5,67.9,0,7.0,6.9,49,58,Yes,1,2,4,67.8,Yes,Data Analytics,Not Placed,None,0.0
STU0181,Female,23,BCA,8.05,91.0,75.8,0,6.4,6.4,93,67,Yes,6,0,5,71.6,Yes,Data Analytics,Placed,Startup,4.59
STU0182,Female,21,BCA,6.86,94.6,84.4,0,9.1,7.5,91,38,No,0,2,5,92.0,Yes,Cyber Security,Placed,Consulting,3.29
STU0183,Male,22,B.Sc Networking,8.12,75.0,79.5,1,6.2,7.8,69,40,No,0,1,3,72.0,Yes,Software Development,Not Placed,None,0.0
STU0184,Male,23,BCA,6.87,63.6,64.3,0,4.7,8.2,91,71,No,0,3,3,87.2,Yes,AI/ML,Placed,FinTech,4.65
STU0185,Female,21,B.Tech IT,7.3,97.0,82.2,0,6.2,8.9,66,51,No,0,0,1,81.2,Yes,Cloud Computing,Not Placed,None,0.0
STU0186,Male,23,B.Sc Data Science,7.4,91.9,67.0,0,8.0,7.7,65,83,No,0,3,3,76.0,No,Networking,Placed,Product Company,4.84
STU0187,Male,22,B.Tech CSE,8.48,82.8,76.4,0,9.2,5.0,69,69,Yes,3,0,4,86.8,Yes,Software Development,Not Placed,None,0.0
STU0188,Male,20,B.Tech CSE,8.43,67.9,70.7,0,7.2,6.4,66,75,Yes,2,4,3,85.6,Yes,Software Development,Placed,IT Services,6.17
STU0189,Male,21,B.Tech CSE,6.59,75.5,71.6,0,9.1,10.0,65,89,Yes,3,1,3,100.0,Yes,AI/ML,Placed,Startup,5.12
STU0190,Female,22,B.Tech CSE,7.7,74.4,82.4,0,4.8,8.2,84,60,Yes,1,2,4,79.0,Yes,Software Development,Not Placed,None,0.0
STU0191,Female,20,BCA,7.05,79.3,62.6,0,6.3,10.0,70,55,Yes,1,2,2,95.5,Yes,Cloud Computing,Placed,IT Services,3.99
STU0192,Male,22,B.Sc Data Science,6.58,90.5,95.4,0,6.5,9.2,78,80,Yes,1,1,4,86.8,No,Software Development,Not Placed,None,0.0
STU0193,Male,21,B.Tech CSE,7.47,84.8,54.0,1,6.8,7.5,82,74,Yes,2,2,3,78.7,No,Software Development,Not Placed,None,0.0
STU0194,Male,22,B.Tech IT,7.39,65.2,67.4,1,7.1,7.6,73,62,Yes,4,4,2,90.4,Yes,AI/ML,Placed,Startup,4.21
STU0195,Female,20,B.Sc Networking,9.71,89.8,78.1,1,8.1,7.0,54,89,Yes,4,0,4,88.5,Yes,Software Development,Placed,IT Services,5.52
STU0196,Female,22,B.Sc Computer Science,8.02,79.1,80.4,0,6.3,4.5,49,61,Yes,2,4,3,84.3,Yes,Data Analytics,Not Placed,None,0.0
STU0197,Male,23,B.Sc Computer Science,6.48,82.9,72.9,0,7.2,7.1,70,66,Yes,3,2,4,86.1,No,Data Analytics,Not Placed,None,0.0
STU0198,Male,23,B.Tech CSE,7.17,90.7,73.4,0,6.9,8.9,66,65,No,0,3,3,79.2,Yes,Cyber Security,Placed,IT Services,2.99
STU0199,Male,22,B.Tech IT,8.52,64.9,78.5,2,5.5,6.2,69,49,Yes,2,1,2,77.4,Yes,Data Analytics,Placed,FinTech,3.73
STU0200,Male,21,B.Sc Computer Science,9.43,75.6,71.5,1,6.8,7.7,68,66,Yes,2,1,4,90.1,No,Networking,Placed,FinTech,5.13
STU0201,Male,22,B.Sc Data Science,6.3,70.7,89.3,1,6.8,8.4,100,89,No,0,3,3,82.2,No,Cyber Security,Not Placed,None,0.0
STU0202,Female,20,B.Sc Networking,6.05,60.3,83.2,0,6.7,5.7,49,73,No,0,1,2,83.4,Yes,Data Analytics,Not Placed,None,0.0
STU0203,Female,20,B.Sc Computer Science,9.24,79.5,83.6,0,7.1,6.4,40,66,Yes,1,2,1,86.2,No,Data Analytics,Not Placed,None,0.0
STU0204,Male,21,B.Sc Networking,7.98,98.0,63.4,0,7.1,5.6,73,62,No,0,0,4,86.1,Yes,AI/ML,Placed,IT Services,2.62
STU0205,Male,21,B.Tech CSE,6.91,57.6,73.1,0,6.3,5.9,63,71,No,0,0,0,72.6,Yes,Cyber Security,Not Placed,None,0.0
STU0206,Female,22,B.Sc Data Science,8.1,75.7,70.7,0,9.0,5.2,72,78,No,0,2,4,94.3,Yes,Cyber Security,Not Placed,None,0.0
STU0207,Female,22,BCA,5.41,82.4,62.9,2,5.1,5.7,76,75,Yes,2,2,2,85.0,No,AI/ML,Not Placed,None,0.0
STU0208,Male,21,B.Tech CSE,7.65,77.2,78.0,0,5.8,9.2,86,59,No,0,2,3,82.4,Yes,Cloud Computing,Not Placed,None,0.0
STU0209,Female,21,BCA,7.93,74.9,68.1,0,10.0,5.7,47,71,Yes,1,0,5,87.4,Yes,Software Development,Not Placed,None,0.0
STU0210,Female,24,B.Sc Data Science,8.44,63.0,81.2,0,5.3,7.3,60,73,Yes,2,1,1,85.9,No,Software Development,Not Placed,None,0.0
STU0211,Male,21,B.Tech CSE,6.79,78.3,62.2,2,4.8,6.3,74,48,No,0,1,3,90.1,Yes,Networking,Not Placed,None,0.0
STU0212,Male,21,B.Tech CSE,7.72,68.4,92.9,0,8.2,8.9,79,68,Yes,1,2,4,88.3,No,Cyber Security,Placed,Startup,2.7
STU0213,Male,21,B.Sc Networking,6.86,54.1,64.1,0,3.7,9.1,99,28,No,0,3,4,89.7,Yes,Cyber Security,Placed,IT Services,3.2
STU0214,Female,22,B.Sc Data Science,7.87,87.9,76.4,2,6.6,8.4,81,73,Yes,2,3,3,94.8,Yes,Data Analytics,Not Placed,None,0.0
STU0215,Male,22,B.Tech CSE,6.89,85.6,82.7,0,10.0,7.6,67,76,No,0,0,3,91.1,Yes,AI/ML,Placed,IT Services,4.37
STU0216,Female,21,BCA,7.3,76.5,67.7,0,4.5,6.8,56,78,Yes,3,4,4,82.7,No,Networking,Not Placed,None,0.0
STU0217,Female,21,B.Tech CSE,6.8,78.3,83.4,0,3.8,5.3,60,58,Yes,2,1,4,75.0,Yes,Data Analytics,Not Placed,None,0.0
STU0218,Male,22,BCA,8.2,86.7,60.5,0,4.6,10.0,60,70,No,0,3,4,97.3,Yes,Software Development,Not Placed,None,0.0
STU0219,Male,22,B.Tech CSE,8.38,78.2,90.0,1,8.4,6.0,77,89,Yes,3,0,2,82.1,Yes,Networking,Placed,FinTech,4.88
STU0220,Male,21,B.Sc Networking,7.45,85.0,74.2,1,8.8,8.1,72,89,Yes,4,2,5,80.2,No,Cloud Computing,Placed,IT Services,5.1
STU0221,Male,23,B.Tech CSE,7.68,73.0,67.4,0,6.2,8.7,49,65,No,0,1,3,70.1,Yes,AI/ML,Not Placed,None,0.0
STU0222,Male,21,B.Tech IT,6.42,89.1,70.7,0,8.1,6.3,62,67,Yes,6,1,0,86.7,Yes,Software Development,Placed,Consulting,4.35
STU0223,Female,21,B.Sc Networking,7.4,79.2,82.9,0,9.2,8.7,80,84,No,0,0,2,85.2,Yes,Cyber Security,Placed,IT Services,3.87
STU0224,Female,23,BCA,7.61,77.9,67.6,0,9.9,8.2,73,39,Yes,6,0,1,71.9,No,Software Development,Not Placed,None,0.0
STU0225,Female,21,B.Sc Networking,9.8,63.3,65.8,0,6.6,9.7,76,60,Yes,3,0,1,87.6,Yes,Networking,Placed,Startup,4.71
STU0226,Female,22,B.Sc Computer Science,6.7,78.9,71.6,0,3.3,6.4,73,88,No,0,1,2,80.0,Yes,Software Development,Placed,FinTech,4.5
STU0227,Male,21,BCA,8.89,67.7,61.1,0,5.7,5.2,91,82,Yes,4,0,1,100.0,No,Software Development,Placed,IT Services,7.67
STU0228,Female,21,B.Tech IT,8.5,69.6,94.0,1,6.3,6.3,71,71,No,0,2,3,79.4,No,AI/ML,Not Placed,None,0.0
STU0229,Male,24,BCA,7.89,67.8,67.8,0,6.6,7.4,63,39,No,0,0,1,80.5,Yes,Cloud Computing,Not Placed,None,0.0
STU0230,Male,21,BCA,9.14,65.3,83.1,0,6.7,7.2,55,64,Yes,2,2,2,77.0,No,AI/ML,Not Placed,None,0.0
STU0231,Male,23,B.Tech CSE,7.97,97.2,76.3,0,8.8,6.5,71,55,No,0,0,1,94.2,Yes,AI/ML,Placed,Startup,5.1
STU0232,Male,21,B.Sc Networking,7.98,89.3,63.2,1,9.0,4.2,34,71,No,0,4,1,81.0,Yes,AI/ML,Placed,IT Services,4.53
STU0233,Male,21,B.Sc Data Science,7.6,95.2,73.9,0,6.7,7.8,65,51,Yes,3,4,2,78.2,Yes,Software Development,Not Placed,None,0.0
STU0234,Male,20,B.Tech CSE,8.69,63.8,82.6,0,8.8,10.0,65,48,No,0,1,3,89.7,Yes,AI/ML,Placed,Product Company,5.04
STU0235,Female,22,B.Tech CSE,8.58,76.7,71.9,0,7.6,7.8,49,30,Yes,2,2,5,73.0,No,Software Development,Not Placed,None,0.0
STU0236,Male,21,B.Tech IT,7.12,63.1,87.1,1,7.1,8.0,55,86,Yes,6,0,4,89.0,Yes,Cloud Computing,Placed,IT Services,4.24
STU0237,Female,22,B.Sc Data Science,6.53,69.0,85.2,0,8.5,8.0,79,58,No,0,4,4,98.3,Yes,Networking,Not Placed,None,0.0
STU0238,Female,21,BCA,7.48,66.8,84.1,1,7.1,7.7,71,68,No,0,2,2,88.5,Yes,AI/ML,Not Placed,None,0.0
STU0239,Male,23,B.Sc Networking,6.97,88.4,68.9,2,10.0,8.5,69,65,No,0,0,2,89.1,Yes,Cloud Computing,Not Placed,None,0.0
STU0240,Female,21,BCA,7.6,72.0,62.1,1,4.7,7.7,72,47,No,0,1,1,91.0,Yes,Software Development,Not Placed,None,0.0
STU0241,Male,22,B.Tech CSE,8.7,86.7,67.3,0,6.2,6.6,69,44,No,0,0,4,97.7,Yes,Cloud Computing,Placed,IT Services,4.82
STU0242,Male,22,B.Sc Networking,7.26,82.0,76.2,0,6.8,5.9,85,48,No,0,1,1,93.7,Yes,Networking,Not Placed,None,0.0
STU0243,Male,22,B.Tech IT,7.61,98.0,80.0,0,7.7,6.7,70,53,Yes,2,2,3,87.5,No,Cloud Computing,Not Placed,None,0.0
STU0244,Female,22,B.Sc Data Science,7.7,61.2,50.1,3,9.0,7.6,48,71,Yes,4,1,2,91.2,Yes,Cyber Security,Not Placed,None,0.0
STU0245,Female,22,B.Tech CSE,8.37,88.6,73.9,0,7.0,6.6,91,51,Yes,6,1,2,76.9,Yes,Software Development,Not Placed,None,0.0
STU0246,Male,22,B.Tech IT,5.74,87.5,75.7,0,4.7,7.6,73,95,No,0,0,5,90.2,Yes,AI/ML,Not Placed,None,0.0
STU0247,Female,21,B.Sc Networking,7.13,66.3,70.9,0,8.3,7.8,60,82,Yes,2,1,4,76.0,Yes,Data Analytics,Placed,Consulting,6.34
STU0248,Male,20,B.Tech CSE,7.83,86.1,88.2,0,8.2,8.3,50,79,Yes,3,0,4,81.1,No,AI/ML,Placed,IT Services,4.77
STU0249,Male,23,B.Tech IT,8.67,79.4,78.6,0,3.9,9.0,74,63,Yes,4,3,3,59.3,No,Software Development,Not Placed,None,0.0
STU0250,Male,22,B.Sc Networking,7.23,73.7,88.4,0,7.0,7.2,66,91,No,0,0,4,87.2,Yes,Data Analytics,Not Placed,None,0.0
STU0251,Female,22,B.Sc Networking,6.05,67.8,71.6,0,4.5,5.1,90,61,No,0,2,3,78.8,Yes,Software Development,Not Placed,None,0.0
STU0252,Female,21,B.Sc Data Science,8.18,68.8,84.3,1,5.9,6.6,63,64,Yes,3,1,5,92.9,Yes,Software Development,Placed,IT Services,4.29
STU0253,Male,21,B.Tech CSE,7.11,96.5,92.0,0,5.6,7.2,56,68,Yes,6,1,2,87.1,Yes,Cyber Security,Placed,IT Services,2.42
STU0254,Female,21,B.Tech CSE,6.64,76.0,88.4,0,8.3,4.3,81,77,Yes,2,2,3,93.0,Yes,Data Analytics,Not Placed,None,0.0
STU0255,Female,22,B.Tech CSE,7.12,83.8,62.0,0,7.2,9.2,81,76,Yes,3,1,3,75.3,No,Cyber Security,Not Placed,None,0.0
STU0256,Male,21,B.Tech IT,7.49,68.1,71.2,0,4.9,7.3,70,57,Yes,6,1,2,92.3,No,Cyber Security,Not Placed,None,0.0
STU0257,Male,21,B.Tech IT,7.14,68.2,70.2,1,8.4,7.7,77,56,No,0,2,4,100.0,Yes,Networking,Placed,IT Services,2.72
STU0258,Male,21,B.Sc Computer Science,5.78,86.8,79.4,0,4.7,9.1,67,76,No,0,2,5,90.1,No,Data Analytics,Not Placed,None,0.0
STU0259,Male,20,BCA,8.41,62.5,81.5,0,7.5,6.2,71,77,Yes,3,1,3,90.3,No,Networking,Placed,Consulting,4.37
STU0260,Female,22,B.Sc Computer Science,8.73,71.8,64.8,0,5.7,8.0,84,58,Yes,6,2,2,85.4,No,Software Development,Placed,IT Services,3.53
STU0261,Male,21,B.Tech CSE,8.2,76.3,74.7,2,6.4,6.9,77,38,Yes,3,2,3,79.8,No,Data Analytics,Placed,Product Company,5.29
STU0262,Male,22,B.Tech IT,6.68,77.1,51.8,0,7.8,6.8,66,61,Yes,4,0,4,90.1,Yes,AI/ML,Not Placed,None,0.0
STU0263,Female,21,B.Sc Data Science,7.48,74.2,89.9,1,7.8,5.9,87,76,Yes,3,1,3,72.0,Yes,Cloud Computing,Not Placed,None,0.0
STU0264,Male,21,B.Sc Computer Science,7.64,80.0,68.4,0,9.1,9.6,35,96,Yes,3,0,1,80.7,No,Cloud Computing,Not Placed,None,0.0
STU0265,Male,20,B.Tech IT,8.16,82.9,74.6,0,6.9,6.5,97,45,Yes,2,0,3,69.8,No,Cloud Computing,Not Placed,None,0.0
STU0266,Male,20,B.Tech IT,8.22,83.3,70.6,0,7.5,8.1,44,58,No,0,2,0,78.4,No,Software Development,Not Placed,None,0.0
STU0267,Male,21,B.Tech IT,7.03,66.1,86.6,1,6.3,4.3,59,58,No,0,3,4,89.1,Yes,Cyber Security,Placed,Consulting,2.4
STU0268,Male,21,B.Tech CSE,7.72,73.2,45.0,0,7.3,8.9,67,88,No,0,4,2,88.0,Yes,Cyber Security,Placed,Consulting,4.02
STU0269,Female,22,BCA,8.04,87.9,73.8,2,7.7,8.7,66,64,Yes,3,0,3,84.4,Yes,Data Analytics,Not Placed,None,0.0
STU0270,Female,21,B.Tech IT,8.89,84.9,72.8,0,6.8,7.2,82,50,No,0,1,4,85.4,Yes,AI/ML,Not Placed,None,0.0
STU0271,Male,22,B.Sc Networking,8.25,62.3,69.0,0,4.1,6.8,53,74,No,0,2,1,68.9,Yes,Networking,Not Placed,None,0.0
STU0272,Male,22,B.Sc Computer Science,8.32,79.5,93.0,0,7.5,7.7,72,58,Yes,1,0,1,81.0,Yes,Cloud Computing,Placed,Startup,4.06
STU0273,Male,22,B.Sc Computer Science,7.72,56.2,64.2,1,7.6,10.0,60,44,Yes,4,3,2,78.5,Yes,Cloud Computing,Placed,IT Services,3.47
STU0274,Male,20,B.Tech IT,8.85,76.5,82.5,0,5.9,4.5,72,50,Yes,3,3,2,78.7,Yes,Cyber Security,Placed,Consulting,6.04
STU0275,Male,21,B.Sc Data Science,8.0,95.0,77.9,1,4.9,8.3,67,94,Yes,2,4,2,88.8,Yes,Data Analytics,Placed,FinTech,6.83
STU0276,Male,21,B.Tech IT,6.92,66.5,87.9,2,9.4,5.7,69,72,Yes,3,0,5,77.1,Yes,Data Analytics,Placed,Startup,5.2
STU0277,Male,21,B.Tech CSE,8.84,67.7,66.7,2,7.8,7.1,60,67,No,0,1,4,79.2,Yes,Software Development,Not Placed,None,0.0
STU0278,Male,24,B.Tech IT,8.24,83.6,65.9,0,6.6,6.7,61,61,Yes,2,3,4,67.3,Yes,Software Development,Placed,IT Services,4.4
STU0279,Male,21,B.Tech IT,7.27,60.6,86.1,0,5.2,6.5,72,70,Yes,2,2,5,81.6,No,AI/ML,Placed,IT Services,2.78
STU0280,Male,21,B.Sc Networking,7.24,69.7,78.7,1,5.7,7.1,81,70,Yes,1,4,2,75.3,Yes,Cloud Computing,Not Placed,None,0.0
STU0281,Male,22,BCA,7.9,82.0,57.0,0,9.1,5.4,60,70,No,0,0,2,84.6,Yes,Cyber Security,Not Placed,None,0.0
STU0282,Female,22,B.Sc Computer Science,8.04,69.7,68.1,0,7.2,8.6,56,67,Yes,1,2,2,76.4,No,Networking,Not Placed,None,0.0
STU0283,Female,22,B.Sc Computer Science,7.82,73.6,78.3,0,6.1,4.4,77,80,No,0,2,4,84.8,Yes,Cloud Computing,Not Placed,None,0.0
STU0284,Female,20,B.Sc Networking,7.91,83.4,83.2,0,7.8,7.9,68,65,Yes,2,0,3,82.8,No,Data Analytics,Placed,IT Services,2.45
STU0285,Male,21,B.Sc Networking,9.09,80.2,66.5,0,5.7,6.6,80,48,Yes,3,2,2,97.4,Yes,Software Development,Not Placed,None,0.0
STU0286,Female,21,BCA,8.56,78.7,45.0,0,9.4,5.3,55,55,Yes,2,2,2,88.0,No,Data Analytics,Not Placed,None,0.0
STU0287,Female,21,B.Sc Data Science,7.81,72.6,79.8,0,9.2,7.4,43,31,Yes,3,0,3,69.3,Yes,Data Analytics,Not Placed,None,0.0
STU0288,Male,21,B.Sc Computer Science,8.45,79.7,60.6,0,6.3,4.8,61,99,Yes,3,1,3,73.9,No,Software Development,Not Placed,None,0.0
STU0289,Female,20,B.Sc Computer Science,6.77,74.8,51.8,0,6.0,7.2,57,80,Yes,3,2,4,84.4,No,Cyber Security,Not Placed,None,0.0
STU0290,Male,20,BCA,7.99,80.6,45.0,0,2.8,5.0,67,51,Yes,1,1,2,76.6,Yes,Software Development,Not Placed,None,0.0
STU0291,Female,21,B.Tech IT,9.19,71.0,83.0,0,4.6,7.8,59,60,No,0,3,4,60.3,Yes,Networking,Not Placed,None,0.0
STU0292,Female,21,BCA,7.46,74.2,75.4,0,4.9,5.7,78,54,Yes,2,1,3,94.8,Yes,Data Analytics,Placed,FinTech,3.19
STU0293,Male,22,BCA,6.93,66.1,71.5,0,7.2,6.4,64,91,No,0,1,4,89.8,Yes,Software Development,Not Placed,None,0.0
STU0294,Female,22,B.Tech IT,7.1,75.6,89.3,0,6.5,7.5,70,41,Yes,2,5,5,88.2,Yes,Cloud Computing,Not Placed,None,0.0
STU0295,Female,22,B.Sc Networking,6.72,67.9,81.0,0,4.8,5.9,70,67,No,0,4,4,79.1,No,AI/ML,Not Placed,None,0.0
STU0296,Male,21,B.Sc Networking,6.98,64.9,91.8,1,6.6,7.0,71,63,Yes,3,0,1,87.4,Yes,Software Development,Not Placed,None,0.0
STU0297,Male,21,BCA,7.34,78.6,58.7,0,7.8,4.8,68,79,No,0,3,2,78.4,Yes,Cyber Security,Not Placed,None,0.0
STU0298,Female,21,B.Sc Networking,6.46,78.1,73.6,1,7.8,8.0,75,63,No,0,0,3,85.6,No,AI/ML,Not Placed,None,0.0
STU0299,Male,22,B.Sc Networking,7.66,83.8,56.2,0,4.0,9.7,57,35,No,0,0,3,76.6,Yes,Software Development,Placed,Startup,3.4
STU0300,Female,22,B.Sc Computer Science,8.42,71.7,71.5,0,6.8,10.0,88,61,Yes,1,1,3,96.1,Yes,Software Development,Placed,Consulting,4.53
STU0301,Female,20,B.Tech CSE,6.88,80.1,71.3,0,4.8,7.2,65,48,No,0,1,5,71.4,No,Software Development,Placed,Product Company,4.04
STU0302,Male,23,B.Tech IT,8.94,81.5,80.9,0,8.4,8.3,50,66,Yes,3,3,1,93.9,No,Software Development,Placed,IT Services,5.86
STU0303,Male,20,B.Tech IT,8.08,80.4,74.5,0,8.3,4.4,71,89,No,0,2,3,84.3,Yes,AI/ML,Placed,IT Services,5.01
STU0304,Male,22,BCA,8.53,67.7,80.9,0,5.6,9.4,56,35,Yes,3,5,2,80.1,No,Cyber Security,Not Placed,None,0.0
STU0305,Male,22,B.Sc Data Science,7.09,77.5,81.7,0,5.8,8.3,77,51,Yes,3,2,4,85.3,Yes,Cloud Computing,Not Placed,None,0.0
STU0306,Male,22,B.Sc Computer Science,8.38,79.6,97.7,0,6.3,6.4,99,56,Yes,3,1,5,89.9,Yes,Data Analytics,Not Placed,None,0.0
STU0307,Male,22,B.Sc Networking,6.72,76.1,70.5,0,3.4,9.0,57,59,Yes,3,2,3,94.9,Yes,AI/ML,Not Placed,None,0.0
STU0308,Female,22,B.Tech IT,8.41,55.1,63.6,2,7.5,6.7,73,78,No,0,5,1,86.5,Yes,Software Development,Not Placed,None,0.0
STU0309,Male,21,B.Sc Networking,7.8,77.6,76.7,0,6.6,6.4,43,62,No,0,2,4,76.9,Yes,Cyber Security,Not Placed,None,0.0
STU0310,Female,22,B.Sc Computer Science,8.12,98.0,65.2,0,8.6,7.8,74,72,No,0,3,3,84.4,Yes,Cyber Security,Placed,Startup,6.1
STU0311,Female,21,B.Tech IT,6.65,72.4,90.3,0,5.2,5.5,56,54,No,0,4,2,98.5,No,Software Development,Not Placed,None,0.0
STU0312,Female,23,B.Tech CSE,6.89,68.7,70.9,0,6.0,8.6,59,69,No,0,0,4,94.8,Yes,Software Development,Not Placed,None,0.0
STU0313,Female,22,B.Sc Computer Science,8.16,79.7,67.8,1,4.6,5.5,53,78,Yes,3,2,5,91.3,No,Data Analytics,Not Placed,None,0.0
STU0314,Male,22,B.Tech CSE,6.84,79.1,68.8,0,5.4,5.5,78,53,Yes,4,3,3,90.4,Yes,Software Development,Not Placed,None,0.0
STU0315,Male,21,B.Sc Data Science,8.04,87.9,81.9,0,5.1,5.7,82,78,Yes,2,4,3,89.6,No,Software Development,Not Placed,None,0.0
STU0316,Male,22,B.Sc Networking,6.49,63.4,72.3,1,8.6,8.2,68,66,Yes,2,1,2,93.3,Yes,Data Analytics,Not Placed,None,0.0
STU0317,Female,21,BCA,8.37,83.3,66.9,0,5.9,6.2,56,83,Yes,4,2,3,80.3,Yes,Cyber Security,Placed,Startup,3.5
STU0318,Female,22,B.Sc Computer Science,6.6,81.9,92.3,0,7.2,5.1,90,62,Yes,4,2,3,73.2,Yes,Networking,Not Placed,None,0.0
STU0319,Female,21,B.Sc Computer Science,8.12,74.6,64.6,2,6.4,6.2,57,71,Yes,4,1,2,84.6,No,Cloud Computing,Placed,Startup,4.12
STU0320,Female,20,B.Sc Computer Science,8.18,79.4,74.4,0,5.0,7.1,38,64,Yes,3,2,1,77.5,No,Networking,Not Placed,None,0.0
STU0321,Male,21,B.Sc Data Science,7.06,86.3,81.2,0,6.7,5.3,74,63,No,0,1,2,75.6,Yes,Software Development,Not Placed,None,0.0
STU0322,Male,21,B.Tech CSE,8.14,84.7,56.1,0,8.0,5.4,53,69,Yes,1,1,2,78.2,Yes,Software Development,Not Placed,None,0.0
STU0323,Male,22,B.Tech IT,7.87,64.6,79.3,0,5.1,10.0,82,74,Yes,1,1,3,100.0,Yes,Software Development,Placed,Product Company,3.15
STU0324,Female,21,BCA,7.19,84.2,62.4,0,8.3,5.8,63,44,No,0,2,3,85.1,No,Cloud Computing,Not Placed,None,0.0
STU0325,Male,23,B.Tech CSE,6.79,75.4,83.1,1,5.6,6.6,76,89,Yes,3,1,3,86.9,No,Software Development,Not Placed,None,0.0
STU0326,Male,21,B.Sc Data Science,5.98,76.7,63.4,0,6.2,6.5,88,33,Yes,1,2,2,74.2,No,Software Development,Not Placed,None,0.0
STU0327,Male,21,B.Tech CSE,7.95,76.7,81.6,1,7.8,6.5,51,53,Yes,3,1,3,69.2,No,Software Development,Not Placed,None,0.0
STU0328,Male,22,B.Sc Networking,6.32,74.5,86.2,2,5.9,8.0,60,63,Yes,3,0,4,77.4,No,Software Development,Not Placed,None,0.0
STU0329,Female,22,B.Tech IT,7.73,87.9,83.5,0,7.1,8.5,67,72,Yes,2,0,3,95.5,Yes,Networking,Not Placed,None,0.0
STU0330,Female,21,B.Sc Networking,7.43,75.2,76.8,0,6.5,6.6,90,92,Yes,4,0,5,86.7,No,AI/ML,Not Placed,None,0.0
STU0331,Female,22,BCA,8.23,64.8,71.5,0,7.2,5.2,59,33,Yes,2,2,3,88.8,No,Networking,Placed,Startup,4.58
STU0332,Male,22,B.Sc Networking,7.39,72.1,67.7,2,3.2,9.0,60,56,No,0,3,3,89.9,No,Data Analytics,Not Placed,None,0.0
STU0333,Female,21,B.Tech IT,7.37,77.8,90.2,1,4.1,7.0,75,29,Yes,4,0,1,79.3,Yes,AI/ML,Not Placed,None,0.0
STU0334,Female,24,B.Tech CSE,8.27,88.3,66.3,0,8.0,9.7,60,66,Yes,1,0,3,95.1,Yes,Software Development,Not Placed,None,0.0
STU0335,Female,23,B.Sc Networking,7.93,82.0,62.6,0,8.7,3.7,70,70,Yes,3,3,4,78.9,Yes,Cyber Security,Not Placed,None,0.0
STU0336,Female,22,B.Sc Computer Science,7.92,67.5,81.3,0,5.5,7.4,46,92,No,0,1,5,95.2,Yes,Cloud Computing,Not Placed,None,0.0
STU0337,Male,21,B.Sc Computer Science,8.05,98.0,65.2,2,6.6,10.0,99,67,Yes,6,4,5,87.5,Yes,Software Development,Not Placed,None,0.0
STU0338,Male,22,B.Sc Computer Science,6.34,78.6,63.5,0,7.5,6.6,49,83,No,0,2,2,69.7,Yes,Software Development,Not Placed,None,0.0
STU0339,Female,20,B.Sc Networking,8.29,88.8,58.1,0,8.1,6.8,63,75,No,0,1,3,78.0,Yes,Cloud Computing,Not Placed,None,0.0
STU0340,Female,20,B.Sc Computer Science,8.17,74.5,68.7,1,3.8,7.5,68,58,Yes,3,1,3,69.7,Yes,Software Development,Not Placed,None,0.0
STU0341,Male,21,B.Tech CSE,6.79,81.3,73.1,0,5.6,6.3,95,41,Yes,1,2,3,93.3,Yes,Software Development,Not Placed,None,0.0
STU0342,Female,21,B.Sc Networking,7.44,84.4,76.7,0,6.5,6.6,49,70,Yes,2,0,1,83.8,Yes,Data Analytics,Not Placed,None,0.0
STU0343,Female,22,B.Sc Networking,7.62,88.2,84.5,0,8.1,6.6,96,40,Yes,1,0,4,66.2,No,AI/ML,Placed,Consulting,3.42
STU0344,Female,22,B.Sc Computer Science,7.54,86.6,79.8,0,10.0,6.2,79,87,Yes,2,0,4,87.0,No,Cloud Computing,Placed,Startup,4.8
STU0345,Female,22,B.Sc Data Science,7.93,84.7,71.9,0,6.6,8.9,74,62,Yes,4,3,3,79.7,Yes,Networking,Placed,FinTech,3.75
STU0346,Male,21,B.Tech CSE,8.87,72.8,71.8,2,4.7,7.8,54,85,Yes,2,2,2,72.1,No,Software Development,Placed,IT Services,4.45
